Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2019-03-19,225.85,228.9,225.5,227.4,227.61,9836.0,222.0,2238773.0,2234.0,22.71,3.4,1.55
2019-03-20,227.25,228.1,225.5,227.05,226.77,3993.0,136.0,905507.0,1091.0,27.32,2.6,-0.2
2019-03-22,226.4,226.55,224.0,224.75,225.59,4779.0,123.0,1078111.0,2297.0,48.06,2.55,-1.65
2019-03-25,223.5,225.95,221.2,223.45,223.81,8588.0,209.0,1922086.0,3318.0,38.64,4.75,-0.05
2019-03-26,222.0,223.75,221.55,222.1,222.58,9857.0,311.0,2193933.0,4528.0,45.94,2.2,0.1
2019-03-27,228.5,233.1,221.0,226.7,224.31,16032.0,413.0,3596094.0,6919.0,43.16,12.1,-1.8
2019-03-28,228.45,233.1,227.5,228.7,230.09,14377.0,410.0,3308032.0,2596.0,18.06,5.6,0.25
2019-03-29,229.6,229.6,224.05,225.65,226.49,12237.0,358.0,2771606.0,4429.0,36.19,5.55,-3.95
2019-04-01,225.0,230.5,224.6,226.0,226.72,15002.0,353.0,3401254.0,4766.0,31.77,5.9,1.0
2019-04-02,225.9,227.0,225.2,225.65,226.01,3119.0,94.0,704926.0,1081.0,34.66,1.8,-0.25
2019-04-03,226.0,227.65,223.5,224.45,225.93,11363.0,250.0,2567208.0,5039.0,44.35,4.15,-1.55
2019-04-04,226.05,226.05,221.4,222.0,223.09,11606.0,174.0,2589207.0,6502.0,56.02,4.65,-4.05
2019-04-05,222.0,224.85,222.0,222.75,222.97,11764.0,230.0,2623065.0,5478.0,46.57,2.85,0.75
2019-04-08,222.75,223.7,220.0,221.4,222.11,9686.0,209.0,2151382.0,5512.0,56.91,3.7,-1.35
2019-04-09,221.1,223.0,219.6,222.05,221.5,13295.0,232.0,2944842.0,4614.0,34.7,3.4,0.95
2019-04-10,223.0,223.25,220.35,221.1,221.47,5502.0,105.0,1218534.0,2014.0,36.6,2.9,-1.9
